feature,SBc_min,Sb_min,Ec_min,SBb_min,Ei_min,Er_min,Sc_min,Se_min,SBd_min,Sd_min,Sa_min,SBa_min,SBc_max,Sb_max,Ec_max,SBb_max,Ei_max,Er_max,Sc_max,Se_max,SBd_max,Sd_max,Sa_max,SBa_max,min_order,max_order
PETROR90_R,3.356761,3.04044,3.01485,3.030884,3.003486,3.0009,3.040386,3.008932,3.419578,3.436905,3.02533,3.229757,13.95209,15.38424,15.82505,14.8427,13.6231,14.76075,15.72263,17.89619,20.69506,18.60839,12.9659,11.17886,Sd_min SBd_min SBc_min SBa_min Sb_min Sc_min SBb_min Sa_min Ec_min Se_min Ei_min Er_min,SBa_max Sa_max Ei_max SBc_max Er_max SBb_max Sb_max Sc_max Ec_max Se_max Sd_max SBd_max
PETROMAG_R,15.08985,14.80742,14.71676,14.59876,14.74125,14.81942,14.8714,14.88727,14.80123,15.34332,15.27846,14.93779,17.76063,17.71758,17.70277,17.66016,17.76591,17.74966,17.73277,17.63499,17.32492,17.67541,17.73471,17.50277,Sd_min Sa_min SBc_min SBa_min Se_min Sc_min Er_min Sb_min SBd_min Ei_min Ec_min SBb_min,SBd_max SBa_max Se_max SBb_max Sd_max Ec_max Sb_max Sc_max Sa_max Er_max SBc_max Ei_max
PETROMAG_U,16.82791,16.70553,16.47439,16.70277,16.6095,16.83659,16.38726,16.89915,16.41138,16.59851,16.49799,16.80218,20.35043,21.15413,20.82113,20.79716,21.12383,21.2573,20.54318,20.84632,19.67891,19.67448,21.24583,20.99906,Se_min Er_min SBc_min SBa_min Sb_min SBb_min Ei_min Sd_min Sa_min Ec_min SBd_min Sc_min,Sd_max SBd_max SBc_max Sc_max SBb_max Ec_max Se_max SBa_max Ei_max Sb_max Sa_max Er_max
PETROMAGERR_U,0.010292685,0.006749919,0.014309938,0.009324334,0.005306411,0.005273921,0.006299484,0.012266087,0.00884393,0.008550622,0.006397651,0.008861354,0.2252047,0.3165295,0.2097156,0.2650907,0.2294146,0.3161163,0.2278201,0.3106442,0.1924432,0.1845396,0.3008637,0.2322063,Ec_min Se_min SBc_min SBb_min SBa_min SBd_min Sd_min Sb_min Sc_min Ei_min Er_min Sa_min,Sd_max SBd_max Ec_max SBc_max Sc_max Ei_max SBa_max SBb_max Sa_max Se_max Er_max Sb_max
PETROMAGERR_R,0.001211258,0.000951063,0.002504533,0.000909119,0.001090801,0.00098345,0.001084996,0.001414997,0.003008649,0.002992919,0.002625899,0.004245954,0.01971324,0.02796317,0.03455071,0.02260484,0.02047344,0.01880671,0.02130816,0.06769123,0.02399389,0.02855548,0.03119876,0.02913873,SBa_min SBd_min Sd_min Ec_min Sa_min Se_min SBc_min Ei_min Sc_min Er_min Sb_min SBb_min,Er_max SBc_max Ei_max Sc_max SBb_max SBd_max Sb_max Sd_max SBa_max Sa_max Ec_max Se_max
PETROMAGERR_Z,0.003685445,0.002473675,0.003013008,0.002187204,0.002046083,0.001787126,0.002957021,0.00297261,0.007425882,0.005583729,0.003470319,0.005740308,0.06649181,0.0576936,0.06645479,0.05537391,0.04218992,0.04383967,0.07335937,0.07991453,0.14414091,0.15370101,0.06065648,0.05025735,SBd_min SBa_min Sd_min SBc_min Sa_min Ec_min Sc_min Se_min SBb_min Ei_min Er_min Sb_min,Ei_max Er_max SBa_max SBb_max Sb_max Sa_max Ec_max SBc_max Sc_max Se_max SBd_max Sd_max
PSFMAG_R,17.10242,16.64116,15.86892,16.58758,16.28032,16.4469,16.94916,16.24342,17.66618,17.38311,16.35155,15.80444,20.04621,19.41217,20.55529,19.46732,19.35797,19.22485,20.30644,20.37641,20.84061,21.08148,19.48065,19.08634,SBd_min Sd_min SBc_min Sc_min Sb_min SBb_min Er_min Sa_min Ei_min Se_min Ec_min SBa_min,SBa_max Er_max Ei_max Sb_max SBb_max Sa_max SBc_max Sc_max Se_max Ec_max SBd_max Sd_max
DEVMAGERR_R,0.001666213,0.001582649,0.00167239,0.001589966,0.001515552,0.001533379,0.001685848,0.001599858,0.002060066,0.001762754,0.00166447,0.001868028,0.008426718,0.007690086,0.009006644,0.007628285,0.00731168,0.00723746,0.008722099,0.008566641,0.011570284,0.012298178,0.007734311,0.008104357,SBd_min SBa_min Sd_min Sc_min Ec_min SBc_min Sa_min Se_min SBb_min Sb_min Er_min Ei_min,Er_max Ei_max SBb_max Sb_max Sa_max SBa_max SBc_max Se_max Sc_max Ec_max SBd_max Sd_max
FRACDEV_R,0,0.3928963,0,0.3356688,0.1491904,0.8563074,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.41121,0.2474667,1,1,Er_min Sb_min SBb_min Ei_min SBc_min Ec_min Sc_min Se_min SBd_min Sd_min Sa_min SBa_min,Sd_max SBd_max SBc_max Sb_max Ec_max SBb_max Ei_max Er_max Sc_max Se_max Sa_max SBa_max
EXTINCTION_R,0.011040387,0.009797332,0.011359303,0.010501429,0.010000853,0.009393188,0.011810045,0.009952245,0.01880765,0.012235851,0.015999751,0.01943897,0.1894251,0.1882814,0.1879162,0.1872404,0.1888266,0.189693,0.1906263,0.1935785,0.1892999,0.1929976,0.1733811,0.1909685,SBd_min SBa_min Sa_min Sd_min Ec_min SBc_min SBb_min Sb_min Ei_min Er_min Se_min Sc_min,Sa_max SBb_max Ec_max Sb_max Ei_max SBd_max SBc_max Er_max Sc_max SBa_max Sd_max Se_max
