field,value
petror50_r,2.5890222
petror90_r,6.0593414
petromag_u,18.53496
petromag_g,17.447456
petromag_r,16.872526
petromag_i,16.458296
petromag_z,16.351671
petromagerr_u,0.051412217
petromagerr_g,0.010903194
petromagerr_r,0.00843292
petromagerr_i,0.00902142
petromagerr_z,0.02742843
psfmag_r,18.193907
fibermag_r,18.413908
devmag_r,16.537989
devmagerr_r,0.005033515
expmag_r,16.894451
expmagerr_r,0.005025837
fracdev_r,0.46485722
mu50_r,20.93365462463792
extinction_u,0.11652009
extinction_g,0.085734375
extinction_r,0.062181722
extinction_i,0.04715052
extinction_z,0.033430304
rowc_u,170.17903
colc_u,1798.524
rowc_g,174.2515
colc_g,1796.6155
rowc_r,160.60005
colc_r,1792.3514
rowc_i,164.36469
colc_i,1790.8137
rowc_z,169.7942
colc_z,1792.2777
cmodelmag_r,16.714143459909607
cmodelmagerr_r,0.00357253
redshift,0.114482
redshifterr,0.000979407
petromag_mu,-20.409996
petromag_mg,-21.438896
petromag_mr,-21.929401
petromag_mi,-22.116467
petromag_mz,-22.309475
petromagerr_mu,0.055166375
petromagerr_mg,0.014794593
petromagerr_mr,0.013081065
petromagerr_mi,0.013467969
petromagerr_mz,0.02919482
petror50_r_kpc,5.3767204
petror50_r_kpc_simple_bin,53.0
petromag_mr_simple_bin,41.0
redshift_simple_bin,10.0
wvt_bin,34.0
